"P [atm]","Q [mmol/g]","T [K]","adsorbate"
0.02981369160199132, 0.09649122807017552, 273.,"CO2"
0.055855562077436444, 0.17543859649122817, 273.,"CO2"
0.10917737342116132, 0.3289473684210531, 273.,"CO2"
0.24682058305615331, 0.7192982456140355, 273.,"CO2"
0.3137807343637904, 0.9035087719298249, 273.,"CO2"
0.3832192004174003, 1.0877192982456143, 273.,"CO2"
0.45017500380443043, 1.254385964912281, 273.,"CO2"
0.5171318941716123, 1.4254385964912284, 273.,"CO2"
0.5828463662253526, 1.5833333333333337, 273.,"CO2"
0.6497989086719275, 1.7368421052631582, 273.,"CO2"
0.6683960520880888, 1.7763157894736845, 273.,"CO2"
0.6894736842105261, 1.8245614035087723, 273.,"CO2"
0.7328670188482358, 1.9166666666666672, 273.,"CO2"
0.8196504271831995, 2.0877192982456148, 273.,"CO2"
0.9113904650101088, 2.2587719298245617, 273.,"CO2"
0.9994075958173001, 2.4078947368421058, 273.,"CO2"
0.15004021826561445, 0.21052631578947345, 303.,"CO2"
0.21573729863692678, 0.29824561403508776, 303.,"CO2"
0.2801941346551011, 0.38157894736842124, 303.,"CO2"
0.34464988369312377, 0.4605263157894739, 303.,"CO2"
0.4103447901041326, 0.5394736842105265, 303.,"CO2"
0.4785190982412659, 0.6228070175438596, 303.,"CO2"
0.5429759342594404, 0.7061403508771931, 303.,"CO2"
0.6086686667101457, 0.7763157894736845, 303.,"CO2"
0.6731244157481683, 0.8552631578947372, 303.,"CO2"
0.7375779908258874, 0.9254385964912284, 303.,"CO2"
0.8020326528837582, 1.0000000000000002, 303.,"CO2"
0.8677253853344638, 1.0701754385964914, 303.,"CO2"
0.9321789604121826, 1.1403508771929827, 303.,"CO2"
0.9656438183438771, 1.1710526315789478, 303.,"CO2"
0.9991108502358745, 1.210526315789474, 303.,"CO2"
0.08434205091415034, 0.1184210526315792, 303.,"CO2"
0.13265397073849425, 0.05701754385964941, 343.,"CO2"
0.10539142155264239, 0.052631578947368585, 343.,"CO2"
0.0595360768712363, 0.02631578947368407, 343.,"CO2"
0.20948933672471134, 0.08771929824561386, 343.,"CO2"
0.26154155525120115, 0.1184210526315792, 343.,"CO2"
0.3297017326463618, 0.14473684210526327, 343.,"CO2"
0.39414552490271526, 0.17543859649122817, 343.,"CO2"
0.4610676319050413, 0.20614035087719307, 343.,"CO2"
0.5267484075740776, 0.2280701754385963, 343.,"CO2"
0.5911911128502791, 0.2543859649122808, 343.,"CO2"
0.6581132198526054, 0.2850877192982457, 343.,"CO2"
0.7225548381486553, 0.3070175438596494, 343.,"CO2"
0.7869986304050085, 0.3377192982456143, 343.,"CO2"
0.8539196504271831, 0.3640350877192984, 343.,"CO2"
0.9196004260962194, 0.38596491228070207, 343.,"CO2"
0.9989141068284091, 0.4166666666666665, 343.,"CO2"
0.5254701189156284, 0.07017543859649145, 303.,"N2"
0.5923867910171959, 0.0789473684210531, 303.,"N2"
0.6568240613926388, 0.08333333333333348, 303.,"N2"
0.7225015761212199, 0.09210526315789469, 303.,"N2"
0.788179090849801, 0.10087719298245634, 303.,"N2"
0.8526163612252438, 0.10526315789473673, 303.,"N2"
0.9195330333268112, 0.11403508771929838, 303.,"N2"
0.9988401921780905, 0.1184210526315792, 303.,"N2"
0.41270462401356545, 0.06140350877192979, 303.,"N2"
0.47590273701602204, 0.06578947368421062, 303.,"N2"
